Begin Time:2021-05-13T17:14:45.547
[2021-05-13T17:14:45.547 info Netsdk:48184 15904:14552 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:14:45.552 info Netsdk:48184 15904:14552 AVNetSDKMgr.cpp:402]avnetsdk module handle: 0000024E4BCC0000

[2021-05-13T17:14:45.552 info Netsdk:48184 15904:14552 AVNetSDKMgr.cpp:734]Load configsdk dynamically
[2021-05-13T17:14:45.555 info Netsdk:48184 15904:14552 dhnetsdk.cpp:190]Enter CLIENT_SetAutoReconnect:[cbAutoConnect=0000024E47930050, dwUser=0000000000000000].
[2021-05-13T17:14:45.555 info Netsdk:48184 15904:14552 dhnetsdk.cpp:192]Leave CLIENT_SetAutoReconnect.
[2021-05-13T17:14:45.556 info Netsdk:48184 15904:14552 dhnetsdk.cpp:210]Enter CLIENT_SetConnectTime:[nWaitTime=5000, nTryTimes=1].
[2021-05-13T17:14:45.556 info Netsdk:48184 15904:14552 dhnetsdk.cpp:223]Leave CLIENT_SetConnectTime.
[2021-05-13T17:14:45.557 info Netsdk:48184 15904:14552 dhnetsdk.cpp:234]Enter CLIENT_SetNetworkParam:[nWaittime=0, nConnectTime=1000, nConnectTryNum=0, nSubConnectSpaceTime=0, nGetDevInfoTime=0, nConnectBufSize=0, nGetConnInfoTime=3000, nSearchRecordTime=0, nsubDisconnetTime=0, byNetType=0, byPlaybackBufSize=0, bDetectDisconnTime=0, bKeepLifeInterval=0, nPicBufSize=0].
[2021-05-13T17:14:45.557 info Netsdk:48184 15904:14552 dhnetsdk.cpp:249]Leave CLIENT_SetNetworkParam.
[2021-05-13T17:14:45.704 info Netsdk:48184 15904:14020 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E4BBD0C10, pstOutParam:0000024E4BBD1020.
[2021-05-13T17:14:45.704 info Netsdk:48184 15904:2428 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E4BBD1980, pstOutParam:0000024E4BBD1AD0.
[2021-05-13T17:14:45.704 info Netsdk:48184 15904:16160 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E4BBD1370, pstOutParam:0000024E4BBD1880.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:14592 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E479DEB90, pstOutParam:0000024E4BBD0B10.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:9612 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E479DE8F0, pstOutParam:0000024E4BBD0EB0.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:11612 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E479DE810, pstOutParam:0000024E4BBD0A10.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:14592 dhnetsdk.cpp:825]IP:170.242.0.154, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:9612 dhnetsdk.cpp:825]IP:170.242.0.138, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:11612 dhnetsdk.cpp:825]IP:172.16.11.240, port:37777, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:16160 dhnetsdk.cpp:825]IP:170.242.0.170, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:13560 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E4BBD1730, pstOutParam:0000024E4BBD1C40.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:13560 dhnetsdk.cpp:825]IP:170.242.0.66, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:5212 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E479DEC70, pstOutParam:0000024E4BBD14C0.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:5212 dhnetsdk.cpp:825]IP:170.242.0.170, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:7960 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E4BBD1120, pstOutParam:0000024E4BBD1630.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:7960 dhnetsdk.cpp:825]IP:170.242.0.154, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:6384 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E479DEAB0, pstOutParam:0000024E4BBD1270.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:14840 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E4BBD1D40, pstOutParam:0000024E4BBD20E0.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:14840 dhnetsdk.cpp:825]IP:192.168.1.197, port:8000, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:14:45.705 info Netsdk:48184 15904:4644 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:0000024E479DE9D0, pstOutParam:0000024E479DEDC0.
